kepid,period
7906882,52.513565
7907688,4.344837
7914906,8.752907
7918172,191.80664
7918217,63.929799
7919653,4.210477
7936219,0.385598
7938468,7.226951
7938870,0.580726
7940533,3.905597
7941050,0.297981
7941635,0.762724
7943535,4.719339
7943602,14.692016
7947631,2.516556
7950775,8.966611
7950962,0.826957
7950964,0.826957
7953796,0.317548
7955301,15.324419
7959612,0.243214
7960547,6.767341
7967100,1.927295
7968880,1.773919
7970629,2.051069
7970760,7.649413
7971389,26.349614
7972785,7.300733
7973882,0.346634
7973970,9.479933
7975727,22.418315
7975824,0.40375
7976783,1.208852
7977261,0.925812
7985167,1.384478
7987749,17.030854
8004839,0.343764
8005892,958.0
8008128,14.854415
8009500,38.476639
8013439,8.256215
8016211,3.174886
8016214,3.174971
8019043,1.985586
8022489,197.511121
8023317,16.579002
8027591,24.274432
8028158,0.271039
8029708,0.313557
8039225,1.794127
8043714,6.814989
8043961,1.559212
8044608,106.175938
8045121,0.263177
8052474,245.44
8053107,0.388871
8054233,1058.0
8059303,0.373426
8074045,0.536393
8074805,170.874379
8075618,17.561207
8081389,1.48944
8081482,2.819456
8087799,0.926298
8088354,2.89783
8094140,0.706429
8095099,4.206479
8095275,23.00735
8097553,0.391236
8097825,2.936852
8097902,0.331564
8098300,4.305918
8098728,24.485
8099615,1.900717
8104030,46.83994
8106973,439.108378
8108437,351.29
8108785,0.228827
8111381,2.233795
8111387,1.273597
8111622,15.446059
8112013,1.790518
8112039,41.808235
8112324,0.575925
8113154,2.586878
8122124,0.249278
8123430,11.16999
8127648,2.046944
8128067,12.429647
8128965,7.140378
8129189,53.647081
8143170,28.785943
8143757,0.356523
8144355,80.514104
8145477,0.565784
8145789,1.670629
8151107,18.001308
8153568,3.607143
8155368,0.718644
8155584,26.017915
8164262,87.45717
8166095,0.799127
8167938,2.565702
8167938,2.565718
8167978,22.052716
8176653,2.866678
8177798,2.900412
8177958,1.235256
8179747,17.946277
8180020,5.803126
8182360,0.695146
8183389,32.44034
8183540,0.684207
8183850,0.398359
8189196,2.304138
8190491,0.777877
8190613,0.332585
8192840,0.433549
8193315,2.623874
8195877,1.5102
8196180,3.671661
8197368,9.087857
8197406,2.513006
8197761,19.73845
8210370,153.7
